source_cid,place_key,name,reason
ENPperudz,perudz,2025 SEOUL SPRING FESTA,invalid_event_end_date
ENPeqs95r,eqs95r,URBAN BREAK 2025,invalid_event_end_date
ENPvvwvnl,vvwvnl,2025 Seoul Botanic Park Heabom Festival,invalid_event_end_date
ENPvks6fk,vks6fk,2nd National Bread Pride Festival,invalid_event_end_date
ENPosw1ub,osw1ub,Hangang Night View Tour,invalid_event_end_date
ENPvaxs41,vaxs41,DDP Spring Festival - Design Theme Park,invalid_event_end_date
ENPh9mvb4,h9mvb4,2025 Culture-flowing Nodeul Art Island <Nodeul Sunset Stage: K-Beat on a Spring Day>,invalid_event_end_date
ENPt9arya,t9arya,2025 Hangang Drone Light Show,invalid_event_end_date
ENPi94zwj,i94zwj,2025 Yeongdeungpo Yeouido Spring Flower Festival,invalid_event_end_date
ENPvw7jhb,vw7jhb,2025 Yangjaecheon Cherry Blossom Lantern Festival,invalid_event_end_date
ENPgo8tq8,go8tq8,Seoul Garden Festa,invalid_event_end_date
ENPwray9z,wray9z,The 7th Korea International Beer Expo (KIBEX 2025),invalid_event_end_date
ENPj691jr,j691jr,2025 Cheonho Bicycle Street Cherry Blossom Riding Challenge,invalid_event_end_date
ENPqxfa1a,qxfa1a,2025 Seoul AI Festa,invalid_event_end_date
ENP1x90yb,1x90yb,The 2ND MY PACE Hangang Triathlon Festival,invalid_event_end_date
ENP0f1okn,0f1okn,2024 Seoul Plaza Ice Skating Rink,invalid_event_end_date
ENPxn55dm,xn55dm,Gwanak Starlight Walk,invalid_event_end_date
ENPa6e8w5,a6e8w5,2024 Christmas Wonderful Showtime,invalid_event_end_date
ENPo90hvw,o90hvw,2024 DDP Design Market,invalid_event_end_date
ENPjcupa6,jcupa6,2024 The Winter Solstice Festival <Dongji Seotdal>,invalid_event_end_date
ENP6mjk9h,6mjk9h,K-BEAUTY 100-UP Pop-up store,invalid_event_end_date
ENPxcm3vg,xcm3vg,2024 Hangang River Festival WINTER,invalid_event_end_date
ENPza8zf4,za8zf4,Seoul Light Gwanghwamun,invalid_event_end_date
ENP8hdw8f,8hdw8f,Seoul Light DDP 2024 Winter,invalid_event_end_date
ENPhoqolx,hoqolx,'K-POP & FOOD' TOUR in SINCHON,invalid_event_end_date
ENPbxy1hw,bxy1hw,Lotte World Happy Christmas Parade,invalid_event_end_date
ENPuakjav,uakjav,Burning Beaver 2024,invalid_event_end_date
ENPnjhfip,njhfip,"Yesterday's Stories, Today's Sounds, Tomorrow's Memories",invalid_event_end_date
ENPurjpne,urjpne,2024 SEOUL WINTERFESTA,invalid_event_end_date
ENPlvxzu1,lvxzu1,'K-POP & FOOD' TOUR in SINCHON,invalid_event_end_date
ENP8r2f0m,8r2f0m,2024 Seoul Lantern Festival,invalid_event_end_date
ENPx9le3r,x9le3r,2024 Gwanghwamun Market,invalid_event_end_date
ENPszqghv,szqghv,2024 Seoul Gourmet Week,invalid_event_end_date
ENPxltb2s,xltb2s,Autumn and Winter of the lake and the Luminaries,invalid_event_end_date
ENP8434up,8434up,Baek Inje's House “Bukchon Music Concert – Abstraction”,invalid_event_end_date
ENPp015xr,p015xr,Shinsegae Department Store 2024 Christmas Lights,invalid_event_end_date
ENP540sb3,540sb3,Garak Oktoberfest Camping Festival,invalid_event_end_date
ENP3ntu1y,3ntu1y,SEOUL LIFESTYLE TOUR TREND SETTER WEEK,invalid_event_end_date
ENPj42m2g,j42m2g,2024 Seoul Light Hangang Bitseom Festival,invalid_event_end_date
ENPd4djgn,d4djgn,2024 Seoul Performing Arts Festival,invalid_event_end_date
ENP9bayx0,9bayx0,Smart Life Week (SLW),invalid_event_end_date
ENPwkpe4p,wkpe4p,2024 Seoul International Fireworks Festival,invalid_event_end_date
ENP7uoiws,7uoiws,2024 Seoul Battleship Festival: Fall Edition,invalid_event_end_date
ENPzk2gs0,zk2gs0,2024 Hangang River Paper Airplane Festival,invalid_event_end_date
ENPyd76o6,yd76o6,Hangawi Festival,invalid_event_end_date
ENP4w6gle,4w6gle,2024 Unhyeongung Chuseok Folk Festival,invalid_event_end_date
ENPf4csis,f4csis,2024 Reading at Hangang Park,invalid_event_end_date
ENPouzrxk,ouzrxk,2024 Namsangol Wedding Banquet: Autumn Edition,invalid_event_end_date
ENPi1d597,i1d597,2024 Namsangol Chuseok Festival: Sam Sam O Rak,invalid_event_end_date
ENPughngc,ughngc,2024 Changdeokgung Palace Moonlight Tour,invalid_event_end_date
ENP0ix3cs,0ix3cs,"See the Music, Hear the Science",invalid_event_end_date
ENP34zv8u,34zv8u,SEOUL BEAUTY TRAVEL WEEK 2024,invalid_event_end_date
ENPug150d,ug150d,2024 ZERO+ Ttukseom Sharing Market,invalid_event_end_date
ENP668j32,668j32,Kiaf SEOUL 2024,invalid_event_end_date
ENP2pvupp,2pvupp,DDP Design & Art,invalid_event_end_date
ENP9cyuk4,9cyuk4,2024 6th Seoul Gugak Festival,invalid_event_end_date
ENP6veyy2,6veyy2,2024 Seoul International Jewelry & Accessory Show,invalid_event_end_date
ENPqsxdzp,qsxdzp,Global Art & Tech Festival FuturaCanvas #0,invalid_event_end_date
ENPq3vy8l,q3vy8l,2024 Night of the Royal Guard,invalid_event_end_date
ENP09c5od,09c5od,Seoul Light DDP 2024 Autumn “Future Log”,invalid_event_end_date
ENPlggwoh,lggwoh,Artworks in the Enchanted Garden: A Garden of Art Unfolds with Urban Sketching,invalid_event_end_date
ENPe11y5c,e11y5c,Culture Flows at Seoul Plaza,invalid_event_end_date
ENPrz1ia1,rz1ia1,2024 Seoul Busker Festival,invalid_event_end_date
ENPr3z23y,r3z23y,Literature Week 2024: Spin-Off,invalid_event_end_date
ENPm3o5t9,m3o5t9,2024 Seodaemun Independence Festival,invalid_event_end_date
